Intensity_db,DB dIM,dRetention
140833.47,-0.0019,-266.5946
138325.92,-0.0012,-267.7599
115316.54,-0.0017,-268.9265
56487.902,0.015,-196.2043
52370.234,0.0116,-195.0379
40299.477,0.0088,-354.2152
37062.28,0.0027,-358.8805
34687.195,0.0064,-355.9906
33541.99,-0.0088,-263.212
33304.273,0.0102,-354.9494
33197.805,-0.0063,-262.0456
31767.154,-0.0087,-263.0422
30038.82,-0.0091,-261.8751
29062.914,0.0014,-359.4891
24980.494,0.0106,-201.6538
8286678.5,0.0192,30.7147
8235299.5,0.0539,38.316
6091117.5,0.0148,32.0112
4317443.5,0.0749,40.1757
3933349.2,0.0761,31.881
3764787.2,0.073,38.5135
3226582.2,0.0738,35.0121
1939460.9,0.0687,48.5864
1394514.8,0.0012,43.7119
1359570.2,0.0019,42.5061
1068164.6,0.0031,40.1735
893310.5,-0.0205,57.1484
622458.7,0.0054,72.3081
242529.58,-0.0207,51.6203
189640.52,0.0047,46.9556
93619.375,0.0017,49.6328
81622.13,0.0634,45.0834
35575.527,0.0624,49.5046
26349.123,0.0605,48.3373
20840.93,-0.0047,54.5821
18477.691,-0.0043,56.4545
18240.488,0.062,56.9308
8742682,0.0531,-82.2563
8717064,0.0297,-85.7558
8604158,0.0332,-80.8725
8597867,0.0458,-80.8725
8191941.5,0.0249,-85.5369
8121921.5,0.0246,-88.0884
7664899,0.023,-86.703
7463999.5,0.0393,-81.0748
7458709,0.0234,-78.7406
7387075,0.0253,-84.5727
7204271.5,0.0201,-89.0363
7126413.5,0.0447,-79.5316
7027118.5,0.0228,-90.4201
7008385.5,0.0215,-86.9057
6957675,0.0215,-86.5288
6769757,0.0211,-88.0721
6629470.5,0.022,-87.6957
6413219.5,0.0226,-88.8616
6401258.5,0.0254,-63.5902
6199955,0.0208,-90.028
6104699,0.0183,-90.4052
5632098.5,0.0268,-56.381
5458887.5,0.0242,-60.0805
4945057,0.0264,-55.6897
4597419.5,0.0234,-80.4711
4597419.5,0.0236,-80.4711
4552938,0.0225,-77.4467
4492154,0.022,-79.7807
4425073,0.0208,-83.9705
4412017,0.0189,-80.9469
4308432,0.0226,-58.5384
4266259.5,0.0202,-83.279
3797808.8,0.0119,-96.2522
3651096.2,0.0227,-55.9809
3140961,0.013,-88.6358
2837604.2,0.0197,-52.9559
2751154.5,0.017,-74.05
2745394.2,0.0178,-75.2163
2669944,0.0164,-78.7136
2669187.5,0.0184,-75.2802
2657161.8,0.0162,-76.4448
2621644.8,0.0214,-77.6121
2584455.8,0.0177,-78.7785
2453290,0.0316,-80.3241
2452443.2,0.0245,-81.4911
2452429.2,0.0419,-80.3241
2451303.8,0.0374,-81.4911
2317148,0.0218,-84.9895
2234167.8,0.0288,-86.156
2230606,0.0138,-82.2133
2208001.8,0.0148,-81.111
2141091,0.0223,-87.3221
2027949.5,0.0201,-50.721
1950559.4,0.0065,-86.7781
1666943.5,0.0143,-50.7884
1465531.4,0.0161,-75.5279
1461222.6,0.0164,-74.362
1438962.6,0.0138,-75.4882
1438962.6,0.0146,-75.4882
1431461,0.0124,-93.1534
1427816.6,0.0152,-79.0261
1368955.4,0.0138,-78.9871
1266548.2,0.014,-81.3192
1215267.9,0.0156,-81.3598
975996.25,0.0104,-51.0365
973132.1,0.0126,-98.5681
832916.75,0.0143,-68.0916
832361.3,0.0171,-70.206
831377.06,0.0175,-72.5384
827343.3,0.0174,-73.9241
825077.8,0.0164,-50.9929
813973.5,0.0152,-76.0372
762814,0.0166,-77.423
725373.8,0.0176,-78.5898
700684.2,0.0155,-79.5354
219720.92,0.0169,-72.0339
207601.64,0.0152,-74.1845
185434.3,0.0153,-76.6975
131055.164,0.0157,-77.6835
110981.35,0.0131,-71.1599
92658.555,0.0127,-75.8297
70932.93,0.0168,-117.2452
68581.88,-0.1898,-84.5894
66991.38,0.0325,-117.2452
64527.887,-0.1769,-80.8725
64356.824,0.0175,-129.3168
60355.83,0.0163,-134.7397
56706.12,0.0125,-130.4829
56358.902,0.0206,-112.9851
53785.06,0.0137,-132.188
48552.008,-0.1914,-81.8646
47478.8,0.0166,-133.3547
47106.207,0.0098,-72.583
47049.438,0.0186,-133.1801
46181.863,0.0183,-116.0622
44372.902,0.0081,-73.6356
43576.035,0.014,-134.5204
43512.85,0.017,-132.3883
42689.86,0.0285,-110.248
42626.945,0.0193,-133.5544
42087.77,0.0195,-116.8524
41715.2,0.0186,-114.6909
39076.117,0.0166,-134.3461
32388.344,0.0262,-108.8628
27826.6,-0.1911,-80.3241
27355.756,0.0203,-120.2616
24805.537,0.018,-114.4301
24064.455,0.0073,-70.3086
23572.975,0.004,-71.2822
22827.213,0.0137,-110.1054
17401.89,0.0134,-126.4337
14869.294,0.0089,-106.7708
13428.996,0.0103,-107.9381
12393.262,0.0357,0.2902
12297.702,0.0157,-109.1047
10904.324,0.0267,3.7885
10541.508,0.0263,4.9549
10446.344,0.0313,1.4558
10192.201,0.0294,-0.224
9142.536,0.0156,-107.8719
8952.865,0.0219,-19.6646
8634.457,0.0391,-0.876
8406.098,0.0395,-2.7316
8391.842,0.0421,-2.0421
8204.753,0.0245,4.2648
8185.23,0.0353,-2.1707
8040.0166,0.0381,-3.3359
7461.1484,0.0164,-109.0373
7121.0874,0.0447,-5.6697
6109.9863,0.0094,-105.811
3862.495,0.0109,-107.018
8446109,,
8280147.5,,
7853330.5,,
7763543,,
7445327.5,,
7292580.5,,
7237951.5,,
6773495.5,,
6590681.5,,
6479862.5,,
6462927,,
6375957,,
6264895.5,,
6262030.5,,
6247791.5,,
6165999.5,,
6052415,,
6010907,,
5742879.5,,
5339584,,
5216314,,
5091114.5,,
5040689,,
4792041,,
4720103,,
4578175,,
4411084.5,,
4231503,,
4191900.2,,
4166303,,
4138453.8,,
4124882.2,,
4064410.2,,
3878763.8,,
3872245,,
3807594.8,,
3779287.8,,
3733283.8,,
