Intensity,DB dIM,dRetention
3578984,-0.0665,-179.3511
3525441.8,-0.032,-152.6387
3440780,-0.0712,-180.4426
3376791.2,-0.0976,-163.2161
3375184.8,-0.0682,-181.6841
3297569,-0.0692,-176.7311
3208765.8,-0.0225,-163.135
3162030.2,-0.0673,-173.7233
3115552.8,-0.0692,-177.222
3069455.8,-0.0486,-153.8044
3001819.8,-0.0147,-157.3027
2952612,-0.0007,-162.9194
2919632.8,-0.0643,-167.4007
2913616.2,-0.0657,-168.5669
2889027.2,-0.0675,-173.2317
2888793.2,-0.0067,-158.4691
2870864.8,-0.0656,-175.8522
2855413.2,-0.0984,-164.1137
2835316,-0.0741,-179.8505
2825550.8,-0.0024,-163.135
2784022,0.008,-162.9194
2769367,-0.0002,-168.9667
2749091.2,-0.0002,-170.1317
2689423,-0.0663,-170.5208
2680116,-0.0638,-164.1137
2679524.5,-0.068,-174.0197
2677485,-0.0667,-171.112
2667780.5,0.0062,-166.6337
2661382,-0.0696,-178.1096
2655132.5,-0.0684,-175.778
2648581.2,-0.071,-176.3514
2645842.8,-0.0711,-168.8868
2632659.5,-0.0694,-177.5187
2474859.5,-0.0273,-172.4654
2449470.8,-0.0768,-170.0535
2411058,-0.0699,-161.7535
2390163.8,-0.0763,-170.1317
2336310,-0.0709,-162.9194
2302520,-0.0775,-170.1317
2282967.5,-0.0717,-172.3855
2272008.8,0.0132,-172.4654
2203756.5,-0.0071,-173.6309
2183158.8,0.0194,-154.7566
2172532.2,-0.0742,-160.802
2169467,-0.0746,-165.468
2095563.4,0.3832,-174.6867
2081459.4,0.3809,-167.4007
2075428,0.3819,-177.0183
2054635.5,0.0058,-173.6309
2036876.5,0.3752,-172.0658
2014172.6,0.3842,-179.3511
2002214,0.3811,-173.2317
1990019.5,0.0285,-165.468
1954057,-0.0264,-144.2594
1911900.1,-0.0972,-154.7566
1832712.5,0.0191,-144.2594
1828295.4,0.3852,-181.6841
1824774.6,0.3816,-171.3849
1818509.5,0.3788,-172.5565
1781829,0.3811,-176.7311
1775928.6,0.381,-176.0561
1753986.4,-0.102,-158.4691
1608029.6,0.3796,-171.112
1596371.5,0.3773,-173.4455
1589035.4,0.3802,-174.6116
1572687.5,0.3805,-177.8975
1525995.9,0.3373,-163.0236
1482688.4,0.3828,-170.5208
1481600.4,0.3806,-171.6874
1479894.1,0.3784,-182.8564
1433121.9,0.3818,-176.3514
1413243.4,-0.077,-173.6309
1398121.1,0.3798,-178.1096
1351456,-0.0398,-167.7431
1332168,0.3809,-179.5553
1301772.5,-0.0341,-154.8024
1244754.5,0.381,-180.4426
1189630.9,0.3777,-179.8505
1115421.6,0.331,-166.2343
1102196.5,0.3785,-150.1201
1076470,0.3753,-146.889
1018842.3,-0.0778,-161.9103
1007388.3,-0.0782,-164.2417
1007163.4,0.3303,-171.112
986482.2,-0.006,-164.2417
975475.8,-0.0781,-139.8067
948758.2,-0.0259,-163.4964
931695,0.005,-158.4107
886039.75,-0.0746,-138.4295
884575.5,0.0107,-161.9103
831779.7,-0.0529,-165.829
784729.75,-0.0011,-138.4295
749717.06,-0.0786,-165.829
738555.94,-0.0033,-158.8318
731041.25,-0.0789,-165.829
721499.7,-0.002,-164.6624
716330.56,-0.0119,-168.1611
705681.94,0.0256,-163.0762
661357.7,-0.0102,-169.3279
656541.6,-0.0044,-168.9093
621071.25,-0.0189,-171.2198
621033,-0.0559,-161.8835
619501.1,-0.0188,-170.0535
616723.4,0.0109,-168.1611
614791,0.3249,-169.3554
614540.25,-0.0789,-168.9093
583843.75,0.3222,-168.8539
550734.75,-0.0416,-166.5488
548558.8,-0.0315,-168.9093
514860.66,0.0047,-168.8868
513760.25,-0.0328,-164.2156
513518.34,0.3749,-161.968
505404.25,0.3761,-159.4214
500249.9,0.375,-167.8008
497152.16,0,-172.3855
496136.8,0.3366,-157.088
483876.5,-0.0807,-169.3279
479952.1,-0.0831,-170.0759
461435.88,0.3182,-169.0473
461173.38,-0.082,-160.7171
458593.03,-0.0223,-152.127
456708.1,-0.0816,-163.0488
456412.66,-0.0798,-163.7908
454522.34,-0.0079,-155.6275
443450.75,0.0167,-172.3855
436111.62,-0.0045,-161.4578
424789.1,-0.0965,-159.125
406834.1,-0.0801,-164.9563
395460.78,-0.0816,-165.3817
381391.47,-0.0007,-158.3841
377910.16,0.3771,-172.4654
377840.78,-0.0105,-163.0488
352366.97,-0.0362,-153.8525
337934.47,0.3172,-171.1871
336107.16,0.0067,-160.7171
317038.84,0.0123,-166.1224
300451.8,-0.081,-168.4547
294632.56,-0.0804,-167.7143
281790.56,0.0078,-166.5488
269384.9,-0.0817,-168.8809
256795.67,-0.0074,-167.2892
191274.88,-0.084,-157.3512
184229.84,0.3108,-168.7806
181299.3,-0.0804,-158.5176
175990.58,0.3718,-163.0762
168388.27,-0.0333,-157.8284
167539.25,0.008,-156.1848
167370.77,-0.0436,-160.1609
166673.81,-0.08,-157.8284
161356.56,0.3666,-165.4092
159112.66,0.0051,-156.6629
156808.27,-0.0832,-160.1609
155762.12,-0.0273,-160.1609
153704.95,-0.0809,-163.1836
147683.05,-0.0829,-163.6603
145495.62,-0.0827,-164.3493
145383.19,0.3695,-162.3303
139156.11,-0.012,-160.8503
134812.86,0.011,-160.8503
130925.47,-0.0795,-165.9926
125482.305,0.3711,-166.9954
123275.06,-0.0086,-162.4935
121087.76,-0.0639,-152.6868
116056.086,-0.0042,-162.017
115545.79,0.0106,-161.3273
110498.195,0.3699,-167.7431
