Library Decoy Hyperscore,One genome Decoy
11.332,14.523
10.402,19.121
11.356,15.955
13.115,22.743
14.234,17.03
9.653,16.175
9.407,14.878
9.412,15.429
10.892,15.196
8.671,19.248
12.651,17.082
9.529,16.296
11.529,16.666
10.725,15.117
10.881,21.123
8.383,18.495
15.395,17.062
10.512,19.193
10.024,16.385
8.421,17.594
12.156,11.067
6.385,17.738
9.39,18.885
11.524,16.283
7.94,18.512
9.183,13.616
9.404,15.436
9.92,16.947
11.687,19.935
11.556,13.529
9.559,14.46
10.27,18.298
10.672,16.956
11.503,13.31
9.68,16.475
8.611,16.286
8.344,19.052
10.555,17.985
8.192,16.432
11.593,15.165
11.749,17.404
10.562,15.497
10.385,18.539
10.271,15.892
11.739,13.346
11.224,17.258
10.218,20.825
9.605,15.522
10.317,17.624
9.028,17.956
11.365,18.288
9.806,18.756
10.188,17.802
10.124,16.738
12.189,22.821
8.643,16.663
8.423,11.591
8.759,13.068
9.841,14.925
8.701,14.494
13.277,18.287
10.389,17.06
10.672,16.424
11.941,15.33
9.899,17.118
10.64,17.312
10.549,14.745
9.145,17.297
12.559,16.125
13.375,16.393
11.601,15.924
11.361,18.454
9.958,16.986
13.97,18.156
11.234,21.58
10.134,15.629
9.91,21.486
10.923,18.519
12.524,19.14
8.97,18.749
12.33,20.926
10.743,15.986
10.641,14.129
10.23,15.669
9.283,15.569
12.237,18.229
13.35,13.862
8.583,13.868
8.926,15.23
12.703,18.286
10.157,13.167
10.106,14.47
12.224,17.193
10.576,23.463
10.527,15.05
13.329,18.541
9.582,19.483
11.243,15.602
10.766,18.939
9.597,16.758
11.298,18.321
13.437,12.514
11.552,15.465
12.242,18.737
9.462,15.478
12.71,13.448
10.04,14.906
13.197,12.913
10.93,17.192
9.45,14.014
10.128,13.09
9.934,17.199
10.047,20.954
10.355,16.684
10.635,15.601
9.281,17.207
9.415,18.417
12.309,16.585
11.772,13.957
7.897,17.487
10.47,13.173
8.412,18.26
9.943,16.793
13.182,15.986
9.832,13.073
12.167,14.582
8.395,17.106
9.744,16.204
10.681,18.473
10.172,20.413
11.146,18.921
12.063,18.131
10.353,16.594
7.431,18.315
11,16.895
12.124,15.716
11.092,15.077
8.566,14.868
14.084,13.575
10.943,16.862
10.841,20.898
10.163,17.558
8.033,15.596
11.029,15.758
8.566,18.475
11.558,15.283
11.15,18.544
12.579,18.847
9.209,15.796
10.989,13.495
13.037,16.66
8.407,14.792
9.154,18.337
11.169,17.862
9.867,16.102
9.398,17.216
10.307,16.411
10.251,17.071
10.431,16.891
9.234,17.119
10.01,16.894
10.706,15.165
12.617,15.515
13.463,17.093
10.041,13.605
10.93,17.035
14.552,15.445
9.688,15.001
10.596,15.82
7.451,15.536
9.79,19.332
12.211,16.056
11.129,13.01
8.906,15.139
10.395,14.427
11.638,20.516
6.252,14.658
10.93,14.251
13.254,18.511
9.996,14.409
11.33,18.65
8.226,12.992
10.32,15.214
12.372,18.801
7.276,20.854
8.142,20.732
9.814,15.486
8.574,17.675
13.385,20.941
10.218,17.258
11.29,18.804
9.957,13.665
12.394,12.23
9.537,16.603
11.136,11.261
14.531,14.935
11.137,16.996
13.98,13.385
9.297,13.461
12.189,18.427
11.21,16.801
9.383,18.602
7.564,15.827
9.308,13.181
11.65,17.236
10.368,18.866
9.346,16.743
10.356,13.44
10.166,18.641
9.627,16.856
10.028,20.673
9.538,20.858
8.259,11.63
9.947,16.665
9.896,14.888
10.17,20.716
10.675,17.052
10.493,13.01
13.077,16.768
9.189,14.355
10.631,13.395
12.334,16.811
8.833,14.211
8.462,18.277
9.462,17.508
10.614,18.94
10.996,15.365
11.72,24.63
10.793,16.945
10.061,18.805
12.523,19.75
9.288,14.706
7.91,14.881
9.868,15.435
10.756,15.444
11.207,14.717
8.059,19.187
9.978,14.733
9.824,17.291
8.983,14.034
6.324,19.443
9.344,18.274
11.124,15.303
10.084,20.59
9.864,18.58
10.529,10.707
9.154,15.478
9.721,16.137
9.729,14.848
11.286,12.83
12.247,17.215
11.32,13.964
9.772,22.717
12.227,14.988
9,17.22
10.305,16.434
10.761,16.088
11.968,14.849
12.143,15.19
9.692,17.568
10.22,11.366
8.329,14.868
10.474,14.137
12.492,12.917
11.701,17.8
8.866,15.133
9.324,17.968
12.466,15.84
13.004,16.097
8.812,17.224
12.823,15.787
9.082,16.746
10.652,17.002
12.523,14.958
9.077,16.981
14.714,14.046
9.449,11.63
8.921,14.976
10.287,20.646
13.36,14.12
10.387,19.196
7.594,14.535
9.827,20.765
12.03,16.664
9.657,18.573
8.617,20.999
12.701,18.787
12.696,16.784
11.104,18.419
11.606,18.041
11.382,18.67
11.986,16.359
12.511,16.461
6.787,15.406
10.063,18.823
11.162,16.033
9.495,13.086
11.122,15.715
8.752,18.511
10.06,15.734
10.699,21.194
9.126,15.433
9.563,17.393
9.436,15.961
11.159,13.449
7.292,16.274
11.652,15.108
9.733,19.089
11.194,12.719
12.528,14.538
11.587,15.879
10.412,18.774
12.446,11.845
9.25,13.772
9.306,14.735
12.117,14.835
11.014,16.435
10.499,15.571
9.035,13.576
8.82,13.399
9.392,20.596
9.801,16.09
7.139,17.887
11.555,15.579
10.474,13.568
10.272,18.477
10.295,19.392
10.578,13.277
8.975,16.78
8.967,15.51
10.255,11.572
12.021,14.807
10.235,14.455
12.108,16.307
8.216,18.488
10.028,16.674
14.489,18.988
9.039,15.828
11.988,18.434
11.171,16.944
9.376,15.636
8.089,15.615
7.901,10.624
10.718,14.509
9.015,19.178
12.498,16.558
12.126,18.742
10.508,13.057
12.385,15.038
9.422,14.62
7.587,18.278
11.18,12.427
9.096,16.531
10.071,16.311
12.499,17.226
10.701,20.465
9.119,13.624
10.783,16.538
8.483,13.526
9.402,14.496
8.628,14.045
9.732,13.097
9.278,16.032
11.201,14.77
9.766,14.666
7.321,15.411
7.295,19.957
12.033,19.37
9.302,17.045
14.337,17.579
11.674,16.653
8.207,18.946
11.171,13.221
11.095,16.799
8.75,16.093
8.223,19.316
8.087,11.363
11.188,14.792
9.883,17.201
11.773,17.793
11.344,12.062
8.365,21.235
10.675,16.9
10.732,14.007
11.851,14.675
8.319,19.042
8.143,14.057
14.325,15.423
8.669,18.074
9.875,16.927
10.777,14.472
10.374,15.724
9.402,17.046
10.957,18.489
8.177,17.833
12.649,13.642
5.395,17.149
11.148,14.982
9.098,16.282
9.028,16.218
9.288,14.936
11.609,15.66
11.317,15.013
11.148,15.503
12.293,16.197
10.97,22.416
8.51,18.233
10.337,14.115
12.391,19.174
11.027,14.34
10.999,19.204
12.025,17.097
9.835,14.638
11.604,17.817
12.685,16.561
10.907,20.88
8.811,19.01
9.289,17.346
8.16,11.528
13.375,14.79
10.762,16.662
8.907,14.926
11.529,14.96
6.828,14.465
10.432,20.721
9.219,17.253
9.03,20.292
9.794,17.184
8.442,17.101
10.36,18.343
10.239,16.862
11.308,14.817
9.72,20.78
8.251,19.31
9.075,17.056
11.294,10.343
9.898,17.096
11.717,18.873
8.425,16.4
12.173,20.099
11.456,19.008
10.903,16.316
10.9,15.788
11.409,14.354
11.087,12.654
9.87,15.549
9.086,17.542
10.452,17.828
9.574,17.101
10.013,13.277
11.16,13.661
9.742,12.491
11.224,16.959
10.876,18.585
11.747,18.638
7.389,11.307
15.097,11.628
9.187,15.452
8.119,13.736
10.724,14.875
9.014,14.163
9.182,18.871
6.213,15.415
12.394,14.304
10.049,13.938
9.271,16.876
10.773,13.035
8.507,17.372
9.865,17.186
11.398,14.06
8.964,11.196
12.031,16.81
10.17,17.504
10.697,15.788
8.914,13.632
10.269,14.448
10.449,15.185
10.939,17.584
8.859,13.187
13.258,11.1
11.943,15.815
11.911,17.068
11.288,18.762
9.429,11.367
11.523,15.066
8.16,16.622
11.3,16.787
9.993,14.383
12.242,13.719
10.663,17.588
10.491,18.843
9.274,14.506
11.386,17.047
10.327,12.819
10.052,15.247
9.68,16.37
12.549,15.119
11.677,18.932
10.754,15.642
10.29,14.041
10.213,16.264
8.843,18.61
10.128,14.467
11.48,16.699
9.143,18.951
9.613,18.688
9.511,12.4
11.929,16.744
10.509,13.667
13.15,16.79
11.732,16.672
9.293,16.278
8.207,19.127
10.331,16.656
10.257,17.384
11.05,18.738
9.819,15.77
9.549,18.175
12.378,15.497
10.47,11.242
9.908,15.658
10.048,16.858
11.087,12.985
7.098,13.542
10.171,12.655
12.226,20.881
8.289,15.846
10.877,11.827
10.156,16.813
6.975,14.786
11.152,21.204
9.623,15.753
9.341,13.806
10.191,17.899
10.173,17.091
9.745,16.965
10.574,13.903
11.138,18.63
9.269,17.667
9.365,17.833
12.34,20.682
10.353,16.497
10.481,14.141
10.759,13.416
11.655,15.119
8.375,12.552
11.203,18.579
10.04,14.785
10.043,18.384
6.335,16.719
10.728,15.617
9.132,14.736
11.304,18.685
9.028,14.969
10.151,15.927
9.197,14.629
10.424,15.713
12.62,15.433
15.483,11.252
8.809,11.371
10.42,16.258
10.033,14.962
11.18,14.566
11.828,11.288
9.822,13.416
9.183,14.415
10.343,13.166
8.201,12.065
10.211,16.124
10.821,14.888
9.609,14.611
9.472,15.352
11.453,16.757
10.271,14.928
11.299,16.543
11.186,13.719
12.007,13.123
8.945,14.852
9.541,13.764
9.3,11.256
9.632,16.715
10.456,15.25
8.68,15.858
11.422,16.611
9.323,16.558
13.023,13.963
9.629,15.414
10.634,17.357
9.681,16.654
12.888,18.572
10.05,15.364
11.495,15.702
10.565,16.753
10.42,15.988
10.11,16.579
8.089,14.908
8.154,18.009
13.096,14.796
8.438,19.343
12.867,16.258
9.177,17.298
12.372,15.066
10.96,13.598
9.594,15.65
9.886,14.954
7.965,16.527
11.126,16.34
6.14,14.539
8.58,12.988
11.199,17.038
11.942,11.749
