Ecoli time (s),Ecoli Intensity,S. typhimurium time (s),S. typhimurium Intensity
45.291,0,43.231,195
45.419,0,43.359,0
45.548,119,43.81,85
45.674,0,44.34,191
45.802,0,44.468,141
45.929,0,44.599,50
46.052,51,44.728,0
46.176,0,44.86,133
46.303,0,44.983,149
46.43,0,45.11,0
46.559,68,45.232,0
46.684,137,45.362,0
46.807,185,45.493,102
46.933,179,45.62,0
47.062,0,45.748,145
47.195,40,45.877,83
47.32,50,46.004,56
47.45,0,46.133,0
47.576,77,46.257,0
47.709,80,46.381,174
47.84,194,46.509,0
47.96,64,46.633,129
48.087,110,46.767,95
48.217,0,46.888,0
48.343,98,47.016,0
48.473,67,47.142,0
48.596,50,47.266,57
48.719,325,47.395,0
48.846,0,47.522,0
48.971,0,47.648,0
49.101,45,47.774,0
49.229,0,47.897,44
49.35,0,48.025,0
49.477,0,48.148,90
49.602,0,48.275,0
49.73,168,48.401,21
49.855,181,48.528,0
49.978,0,48.659,0
50.108,0,48.781,0
50.237,0,48.911,19
50.367,0,49.034,0
50.494,82,49.162,0
50.619,0,49.293,0
50.747,0,49.416,62
50.875,0,49.544,165
51.005,0,49.672,0
51.131,173,49.798,0
51.256,0,49.928,0
51.385,142,50.05,0
51.515,0,50.177,0
51.639,0,50.301,50
51.766,0,50.43,52
51.887,0,50.563,0
52.016,0,50.691,0
52.144,0,50.815,136
52.273,131,50.94,0
52.399,127,51.068,0
52.528,57,51.196,0
52.656,143,51.32,0
52.784,79,51.444,197
52.916,0,51.573,0
53.045,0,51.701,69
53.171,0,51.831,0
53.3,0,51.958,0
53.425,43,52.081,0
53.554,0,52.208,0
53.683,0,52.331,0
53.806,146,52.457,116
53.935,12,52.585,163
54.065,87,52.711,0
54.195,81,52.84,258
54.32,88,52.971,74
54.445,0,53.105,98
54.573,0,53.229,0
54.698,0,53.356,206
54.828,0,53.486,0
54.955,179,53.613,0
55.084,0,53.739,114
55.212,0,53.872,0
55.341,84,54,0
55.468,0,54.127,119
55.597,53,54.255,31
55.726,0,54.386,0
55.854,0,54.513,0
55.983,0,54.643,0
56.11,0,54.768,0
56.239,113,54.893,31
56.362,0,55.021,52
56.492,0,55.15,0
56.623,0,55.281,46
56.753,0,55.405,74
56.879,489,55.539,0
57.006,245,55.668,0
57.137,0,55.799,0
57.267,0,55.929,0
57.393,104,56.062,269
57.523,91,56.191,0
57.647,62,56.32,0
57.777,83,56.448,93
57.905,107,56.575,162
58.034,56,56.706,148
58.16,0,56.833,234
58.29,61,56.963,95
58.419,116,57.086,0
58.546,110,57.21,0
58.674,0,57.337,0
58.797,0,57.464,0
58.924,92,57.595,0
59.049,30,57.721,0
59.173,63,57.848,98
59.303,250,58.19,0
59.432,0,58.316,0
59.561,222,58.445,132
59.692,166,58.578,24
59.822,0,58.709,0
59.95,0,58.831,41
60.072,110,58.958,0
60.203,0,59.088,0
60.332,0,59.212,0
60.463,0,59.337,0
60.592,85,59.466,0
60.722,0,59.591,95
60.849,150,59.72,0
60.977,209,59.847,0
61.105,0,59.977,62
61.236,0,60.107,34
61.361,0,60.236,0
61.484,0,60.366,0
61.615,194,60.487,0
61.741,94,60.616,54
61.868,81,60.743,102
61.998,68,60.864,20
62.123,0,60.995,0
62.249,55,61.118,0
62.373,176,61.245,44
62.504,78,61.374,0
62.627,99,61.504,0
62.757,0,61.635,209
62.882,0,61.756,137
63.009,0,61.884,100
63.137,82,62.013,117
63.265,159,62.137,0
63.396,0,62.272,0
63.523,166,62.397,0
63.653,0,62.519,0
63.78,0,62.65,0
63.905,0,62.78,0
64.036,134,62.911,387
64.163,115,63.039,0
64.289,0,63.162,0
64.42,0,63.287,0
64.546,92,63.416,0
64.675,0,63.544,110
64.803,48,63.67,0
64.933,0,63.795,229
65.062,0,63.926,0
65.187,0,64.056,0
65.317,22,64.185,0
65.442,60,64.312,0
65.57,0,64.441,0
65.697,131,64.573,0
65.826,0,64.7,0
65.952,0,64.828,135
66.08,46,64.957,0
66.21,151,65.084,83
66.341,0,65.207,0
66.466,163,65.335,0
66.592,64,65.465,59
66.834,0,65.59,0
66.962,208,65.721,0
67.09,18,65.85,41
67.22,0,65.98,73
67.347,0,66.112,73
67.474,0,66.236,0
67.603,0,66.362,77
67.733,96,66.492,52
67.859,0,66.617,58
67.982,146,66.749,0
68.112,0,66.876,0
68.244,0,66.996,153
68.371,89,67.122,0
68.5,57,67.249,93
68.628,0,67.378,0
68.753,102,67.506,87
68.882,0,67.633,211
69.011,0,67.761,0
69.138,24,67.89,0
69.271,0,68.019,0
69.4,0,68.144,0
69.524,0,68.268,0
69.651,0,68.397,0
69.776,0,68.525,0
69.902,70,68.654,0
70.025,0,68.781,0
70.156,22,68.91,206
70.283,0,69.035,86
70.406,0,69.163,0
70.532,0,69.294,117
70.663,0,69.423,0
70.79,0,69.55,0
70.919,51,69.678,0
71.041,0,69.801,0
71.169,89,69.93,83
71.298,0,70.057,0
71.429,0,70.184,0
71.558,0,70.315,0
71.683,0,70.446,0
71.813,0,70.577,0
71.939,97,70.706,0
72.068,70,70.834,23
72.198,0,70.964,0
72.327,51,71.094,0
72.456,168,71.222,0
72.585,0,71.347,0
72.713,0,71.471,0
72.843,220,71.598,0
72.97,0,71.721,0
73.101,23,71.85,0
73.23,0,71.972,0
73.356,0,72.101,0
73.486,65,72.225,44
73.612,0,72.354,0
73.74,0,72.482,0
73.868,0,72.609,0
73.992,50,72.737,76
74.121,165,72.865,0
74.247,0,72.986,0
74.377,0,73.114,0
74.505,48,73.242,0
74.634,0,73.369,0
74.764,0,73.498,110
74.892,121,73.626,0
75.02,0,73.755,0
75.147,25,73.877,213
75.276,0,74.329,0
75.406,0,74.858,0
75.532,104,74.99,0
75.658,0,75.119,68
75.784,0,75.253,121
75.907,0,75.378,0
76.036,97,75.505,0
76.163,0,75.632,57
76.291,0,75.759,0
76.421,0,75.885,57
76.551,0,76.007,0
76.681,123,76.135,0
76.806,0,76.259,0
76.931,0,76.388,128
77.061,220,76.514,0
77.187,76,76.643,0
77.318,182,76.771,26
77.446,52,76.9,0
77.568,147,77.03,0
77.696,69,77.157,0
77.823,0,77.284,204
77.954,0,77.408,0
78.082,87,77.537,0
78.21,269,77.667,62
78.337,150,77.791,219
78.466,0,77.918,0
78.597,119,78.044,0
78.718,0,78.172,0
78.844,0,78.305,0
78.969,306,78.428,96
79.096,0,78.553,48
79.227,152,78.682,0
79.352,83,78.81,38
79.481,0,78.94,204
79.608,0,79.062,0
79.733,9,79.192,0
79.864,0,79.32,116
79.989,0,79.444,130
80.117,0,79.567,149
80.241,0,79.694,391
80.373,83,79.821,0
80.504,0,79.95,0
80.631,0,80.079,220
80.759,104,80.211,0
80.883,0,80.341,50
81.008,83,80.467,0
81.138,0,80.594,0
81.263,0,80.724,0
81.389,0,80.854,86
81.519,0,80.978,0
81.65,0,81.102,0
81.781,0,81.229,322
81.906,181,81.354,19
82.035,0,81.483,120
82.161,0,81.605,0
82.289,151,81.728,165
82.416,0,81.852,0
82.544,0,82.195,0
82.673,66,82.324,0
82.801,0,82.454,0
82.926,0,82.58,0
83.487,0,82.707,263
84.018,0,82.837,64
84.139,0,82.966,0
84.269,0,83.091,0
84.398,0,83.22,0
84.527,0,83.35,0
84.65,76,83.482,0
84.779,0,83.612,0
84.908,0,83.739,0
85.036,0,83.865,0
85.16,0,83.99,210
85.285,190,84.119,0
85.413,72,84.249,64
85.539,0,84.377,78
85.669,0,84.503,79
85.803,78,85.06,201
85.93,0,85.589,0
86.057,57,85.717,0
86.184,209,85.845,121
86.312,0,85.974,124
86.436,0,86.097,137
